TOTSPACE,LONGITUDE,LATITUDE
71,-79.26360737,43.74998737
43,-79.44414844,43.74966613
78,-79.43984309,43.74925946
159,-79.44772817,43.74910529
140,-79.39251944,43.74906478
49,-79.24882865,43.7490357
32,-79.35033228,43.74888096
80,-79.48854516,43.748843
36,-79.53955698,43.74872271
130,-79.3289047,43.74843361
90,-79.5674795,43.74833611
56,-79.54696659,43.74795552
66,-79.59823106,43.74785079
57,-79.34958398,43.74728752
41,-79.58514608,43.74715016
20,-79.28543908,43.7470833
145,-79.47793719,43.74698117
15,-79.19837776,43.74697634
105,-79.21907657,43.74619011
56,-79.31663102,43.74591128
26,-79.21505413,43.74586142
45,-79.36423096,43.74584809
30,-79.26012519,43.74572086
34,-79.34745077,43.7457197
55,-79.21121678,43.74562161
34,-79.58920987,43.74558426
95,-79.48826393,43.74543295
22,-79.24978823,43.74530089
56,-79.29501322,43.74505637
112,-79.58238508,43.74493973
85,-79.2187713,43.74469664
90,-79.40468572,43.74450914
13,-79.32666461,43.74412983
72,-79.22207498,43.74412797
66,-79.23988971,43.74405286
26,-79.26136955,43.74361746
26,-79.56699138,43.74357491
60,-79.21618361,43.74342485
153,-79.21618361,43.74342485
16,-79.40431565,43.74341254
24,-79.31639744,43.74215388
36,-79.21780519,43.74177288
88,-79.51437124,43.74155675
25,-79.24117237,43.74110206
112,-79.21997621,43.74092885
92,-79.41952554,43.74091864
198,-79.3601237,43.74091344
105,-79.39773111,43.74073182
32,-79.34235121,43.74069992
87,-79.53925983,43.74049307
54,-79.58642918,43.74025409
74,-79.34960938,43.73996105
30,-79.34960938,43.73996105
95,-79.44670059,43.73986363
64,-79.23571181,43.73983096
113,-79.42555957,43.73961395
54,-79.27403512,43.73959188
56,-79.30224064,43.73936503
27,-79.21199715,43.73933592
56,-79.22568618,43.73926339
89,-79.54201309,43.73908657
64,-79.30597227,43.73872711
49,-79.43122536,43.73855386
71,-79.43122536,43.73855386
67,-79.29363841,43.73826708
16,-79.29363841,43.73826708
84,-79.20603805,43.73816057
84,-79.59484589,43.73814334
52,-79.2805772,43.73803602
115,-79.50359532,43.73791477
89,-79.56076423,43.73678424
15,-79.25531488,43.73635476
42,-79.25631648,43.7362637
205,-79.3141853,43.73596802
73,-79.56258034,43.73547048
13,-79.56258034,43.73547048
53,-79.48625941,43.73536582
20,-79.58291142,43.73508012
89,-79.32149779,43.73450537
70,-79.4091618,43.73433856
64,-79.59096139,43.73426956
144,-79.26264594,43.73410478
68,-79.33965896,43.73365974
56,-79.33853616,43.73361563
45,-79.33853616,43.73361563
56,-79.46601442,43.73303442
65,-79.35625363,43.73303234
48,-79.40504867,43.73299895
36,-79.40518527,43.73296153
28,-79.4669959,43.73287476
25,-79.40504465,43.73257806
32,-79.40497198,43.73255926
72,-79.59865393,43.73173485
81,-79.59174304,43.73150129
30,-79.5943155,43.73138826
58,-79.48243906,43.73112244
32,-79.40337552,43.73108385
32,-79.40493465,43.73099782
41,-79.5867087,43.73093099
65,-79.42787243,43.73085104
62,-79.2723813,43.73055837
49,-79.47966088,43.73040435
35,-79.403102,43.7298656
56,-79.26592531,43.72984392
101,-79.56951774,43.72971618
85,-79.26735641,43.72958381
24,-79.41966526,43.72942866
52,-79.27741451,43.7293378
58,-79.60683987,43.72916655
54,-79.60683987,43.72916655
137,-79.61918188,43.72888586
108,-79.61918188,43.72888586
193,-79.4118029,43.72878733
57,-79.44083783,43.72874629
32,-79.48273634,43.72813688
60,-79.25669186,43.72810967
76,-79.5488671,43.72803842
174,-79.40002762,43.7278547
41,-79.23173925,43.7276582
108,-79.42732589,43.72739907
36,-79.25228147,43.72712344
60,-79.40351645,43.72711199
137,-79.44425476,43.72661437
121,-79.50225838,43.72660387
76,-79.26216292,43.72649371
83,-79.33407036,43.72597268
11,-79.39927057,43.72595681
64,-79.26467528,43.72562496
116,-79.48855797,43.72548363
36,-79.57188977,43.72512809
87,-79.38050767,43.72505257
73,-79.31755375,43.72498014
40,-79.33682241,43.72474983
69,-79.30263788,43.72370488
44,-79.42962148,43.72342791
75,-79.57332608,43.72305238
54,-79.48734,43.72273087
98,-79.43141951,43.7226267
92,-79.55211379,43.7222273
93,-79.41583347,43.72205828
66,-79.49723354,43.72195964
67,-79.37787537,43.72193765
94,-79.33211664,43.72105352
16,-79.43045207,43.72066218
102,-79.4822724,43.72051933
114,-79.44424893,43.72013384
26,-79.38950895,43.71994009
49,-79.46063004,43.71993015
71,-79.23089737,43.71976669
71,-79.56655549,43.71932182
58,-79.25779832,43.71904773
72,-79.32958503,43.71857219
25,-79.37296622,43.71841819
190,-79.40886755,43.71833457
57,-79.42586718,43.71800088
52,-79.33169059,43.71794928
51,-79.47553797,43.71783652
46,-79.3018562,43.7176677
54,-79.25120473,43.71738078
66,-79.48495176,43.7172961
62,-79.55789514,43.71684313
70,-79.30415535,43.71651592
73,-79.50667215,43.71609301
118,-79.33225573,43.71528314
72,-79.26594842,43.71523966
205,-79.37017668,43.71463222
40,-79.41225389,43.71452386
41,-79.30646756,43.71438818
59,-79.37720937,43.71416924
74,-79.24885528,43.71413049
34,-79.30680033,43.71366175
45,-79.32660348,43.71353072
97,-79.43638524,43.71318084
59,-79.40034821,43.71308349
86,-79.45674566,43.71301352
41,-79.29815396,43.71269778
55,-79.40196315,43.71263384
143,-79.32985111,43.71246257
32,-79.37267077,43.71235186
125,-79.39747262,43.71193685
64,-79.45499552,43.71187089
154,-79.33101237,43.71173482
61,-79.32846131,43.71140554
75,-79.40058221,43.71123698
45,-79.46719814,43.71111511
99,-79.36420251,43.71109919
30,-79.48341034,43.7108581
30,-79.39763094,43.71016786
91,-79.46375749,43.7097754
191,-79.41279098,43.70944423
77,-79.38451518,43.70906627
36,-79.33497117,43.70898428
66,-79.36462404,43.70880217
45,-79.30632915,43.70844824
232,-79.39085007,43.70791234
43,-79.26959881,43.70729273
46,-79.38457824,43.70727292
80,-79.37013844,43.70722333
65,-79.50933321,43.70598674
26,-79.46787368,43.705952
14,-79.31008254,43.70575214
148,-79.34340316,43.70560989
81,-79.42038828,43.70549092
56,-79.3715984,43.70540298
51,-79.34343675,43.70539004
65,-79.36877493,43.70529391
35,-79.38548489,43.70523546
60,-79.52592356,43.70499184
174,-79.37745143,43.70482825
41,-79.36731758,43.70442721
24,-79.34741129,43.70406893
16,-79.27794561,43.70385218
20,-79.41344705,43.70335969
32,-79.39125734,43.70328529
45,-79.39125734,43.70328529
94,-79.44103039,43.70326335
92,-79.38984202,43.70310059
49,-79.40937821,43.70297177
30,-79.28102863,43.70295236
52,-79.34273683,43.70294741
127,-79.43303829,43.70275231
133,-79.40969652,43.70258014
159,-79.49569768,43.70251489
75,-79.38681064,43.70250247
30,-79.52054755,43.70250241
48,-79.42059061,43.70240304
43,-79.383903,43.70217445
49,-79.4068891,43.70217095
98,-79.37405581,43.70208495
70,-79.29949377,43.70196453
80,-79.29675842,43.70177809
24,-79.39628052,43.70157481
40,-79.28468178,43.70141636
26,-79.28552541,43.70052636
60,-79.27729094,43.70004636
54,-79.43143779,43.69999512
47,-79.31648307,43.69985449
76,-79.36625464,43.69979217
36,-79.38541798,43.69976439
42,-79.39518746,43.69947082
141,-79.39489969,43.69928502
69,-79.53345293,43.69893231
34,-79.50194419,43.69853102
105,-79.51069311,43.69841377
78,-79.42526347,43.69828582
77,-79.31934185,43.69820851
46,-79.46978959,43.69794532
20,-79.55079242,43.69787524
60,-79.47782497,43.69768872
35,-79.47573054,43.69741945
78,-79.29246972,43.69684534
16,-79.32941716,43.69680288
80,-79.39278951,43.69660232
31,-79.44203505,43.69623016
24,-79.43033081,43.69613887
95,-79.55615774,43.69591518
97,-79.29234778,43.69574193
20,-79.26311121,43.69563261
99,-79.55385517,43.69561759
98,-79.41412725,43.69540386
45,-79.54626085,43.69530707
38,-79.33214716,43.69506812
20,-79.28254604,43.69496934
118,-79.43630852,43.69495538
66,-79.49309153,43.69414011
25,-79.44165684,43.6940369
93,-79.28769907,43.69397801
100,-79.28769907,43.69397801
64,-79.36955587,43.69389105
24,-79.29763042,43.69378703
22,-79.44855647,43.69364593
58,-79.35073934,43.69347133
45,-79.53749502,43.69261139
56,-79.30183446,43.69238749
30,-79.50976689,43.69229619
64,-79.44291484,43.69226421
74,-79.26754155,43.69198426
157,-79.34815773,43.69192773
24,-79.30156807,43.6917721
56,-79.4554057,43.69170324
71,-79.56287403,43.69152984
15,-79.40344553,43.69139624
41,-79.43670608,43.69103029
74,-79.5489966,43.6908307
85,-79.32731356,43.69065439
32,-79.39547766,43.69057361
48,-79.26587052,43.69056245
59,-79.34207771,43.69050719
32,-79.39581335,43.69027983
61,-79.39661398,43.69023838
180,-79.32713574,43.68999526
56,-79.34067636,43.68998755
93,-79.60147878,43.6899538
44,-79.47841238,43.68988424
43,-79.56144893,43.6897017
24,-79.39155962,43.68966054
91,-79.39155962,43.68966054
92,-79.40973233,43.68951554
57,-79.34727006,43.68949692
40,-79.34738971,43.68948449
48,-79.39267537,43.68931634
20,-79.49250429,43.68924906
49,-79.27841784,43.68910513
30,-79.51966258,43.68910471
44,-79.3148026,43.68897749
26,-79.30240925,43.68874501
52,-79.30233825,43.68867574
70,-79.5034323,43.68864521
63,-79.30229262,43.68860913
41,-79.50523027,43.688012
65,-79.29996744,43.68779278
158,-79.30951421,43.68765348
52,-79.48846252,43.6876255
134,-79.35171321,43.68761097
47,-79.31388156,43.68744236
174,-79.33053821,43.68733905
30,-79.38330811,43.68730708
30,-79.31115568,43.68717869
112,-79.3784005,43.68716893
118,-79.47694958,43.68696569
77,-79.31690251,43.68695754
47,-79.51439473,43.6869499
47,-79.48867267,43.68684372
64,-79.39324157,43.68678056
108,-79.4280237,43.68664368
60,-79.4280237,43.68664368
46,-79.35659326,43.68661771
56,-79.52765502,43.68652753
46,-79.40445208,43.68637435
65,-79.53684796,43.68625201
126,-79.32156885,43.68602662
85,-79.52716621,43.6856265
67,-79.47268724,43.68548019
39,-79.32788685,43.68543374
62,-79.30243343,43.68514697
97,-79.28386786,43.68510868
259,-79.40131228,43.68491291
45,-79.29927598,43.68461062
41,-79.47369919,43.68454651
45,-79.35657394,43.68441522
10,-79.42738985,43.68418415
32,-79.37235301,43.68413417
31,-79.27550398,43.68405078
155,-79.44004667,43.68398565
53,-79.42135211,43.6835659
54,-79.44016379,43.68333039
112,-79.49031805,43.68332971
40,-79.54523131,43.68323698
52,-79.28849109,43.6831604
75,-79.42028843,43.68309281
48,-79.29770845,43.68281928
34,-79.27856589,43.68278927
92,-79.29913109,43.68262856
43,-79.27957976,43.68230835
94,-79.29913405,43.68210173
112,-79.33748646,43.68205022
57,-79.42285099,43.68186664
